,AdaBoost,"uGB+FL, alpha=0.01","uGB+FL, alpha=0.02","uGB+FL, alpha=0.05","uGB+FL, alpha=0.1","uGB+FL, alpha=0.2"
62,0.08103322103670921,0.04641989816114492,0.04973427935733443,0.05974325847548744,0.06753375727386796,0.07008818764000797
65,0.08137195552676126,0.049565981106386124,0.04954781421600764,0.059595154033217294,0.06739636026618014,0.0699618502953099
68,0.08160338574254739,0.047701867482558405,0.0502778832340444,0.059465040093673614,0.0682738951222605,0.07008676672464521
71,0.08152427072053578,0.049702650458322964,0.04986107966825773,0.05978800174368804,0.0682585995248259,0.0698242254608036
74,0.08182129718847746,0.04707912914258454,0.04990907528328022,0.0604240172288669,0.06798458735082455,0.06985297174275962
77,0.08188258602843111,0.04951357633732022,0.05024498753336329,0.06019464840042796,0.06764387922592029,0.06980997857288022
80,0.08186870409043681,0.04752605153132115,0.04995086483982824,0.06015584935287498,0.06786420219578286,0.07029449178197722
83,0.08171608328343806,0.0487150286684012,0.04989421992853215,0.060304313578224224,0.06820801245396224,0.07039368395027298
86,0.08165940393432163,0.04604839232424835,0.05011290413201539,0.060235257174538065,0.06825192918085873,0.07042532910618356
89,0.08173022647102558,0.04876775910892853,0.05022175920003932,0.05981625390343818,0.06785600980746269,0.07022597560864448
92,0.08140338066580528,0.04620922589384104,0.05051319016405455,0.06012632370019258,0.06750457689541906,0.07040480467814692
95,0.08129444836739101,0.04702000741400285,0.0507538087385714,0.05985147638310207,0.06828742063465484,0.07037513268333392
98,0.0814521729481942,0.046602167279644016,0.05078606853367798,0.059912551285379124,0.06856191816446636,0.07030420357528107
101,0.08124480795392486,0.04874115309080923,0.050560806868873265,0.059616512864425104,0.06855033559263407,0.07056686572062579
104,0.0809706186889419,0.047518567528845215,0.050515432261109404,0.059840391246495,0.06816608465392063,0.07062792195090452
107,0.08076761548813169,0.049835127938885865,0.05048461903046545,0.05952431823622033,0.0677594995258022,0.07068883444274907
110,0.08092679594000662,0.0494517921040831,0.051177531217099385,0.059600642989452134,0.06828497008589048,0.0708455106145772
113,0.08084060898032584,0.05154331752172553,0.05125349456973647,0.05964071253075727,0.06870363173971933,0.07073745854003449
116,0.08077353761064122,0.05140766878812468,0.05125338619316595,0.0600127914471714,0.06831417260732013,0.07095055727961276
119,0.07903247385044955,0.05163383865445431,0.050941868355961116,0.05974720920662662,0.06836598438106456,0.07072868102937355
122,0.07950099596671954,0.04937580037162263,0.051281512610802556,0.06009415313232341,0.06842550902476226,0.07089426340906599
125,0.079324233057486,0.0518822475489162,0.051354045239491275,0.06071836643153871,0.06833310492271995,0.07095736171404972
128,0.07937292068600386,0.0494466341348211,0.05150526364261952,0.060558813639736635,0.068167486878273,0.0709332278469223
131,0.07963883242472436,0.051149789943097115,0.05166645394521914,0.06066655978310036,0.06838055565800909,0.07112289257593479
134,0.07949670113886063,0.04874144475234708,0.0517781207793607,0.06071808685581691,0.06879615445855042,0.07117897338856846
137,0.07949983152206397,0.049372440094853344,0.052219725706963954,0.06105161901760048,0.06861015749198743,0.0712493496181953
140,0.07907863154852228,0.048288682776582784,0.05187397311047159,0.06131280017199232,0.06879815265210219,0.07113680252171073
143,0.0791371408381755,0.049449480017423685,0.05219461608342281,0.06112274719510599,0.06871147681921953,0.07126186113995574
146,0.07926149099314145,0.048907433506214175,0.05238296038838764,0.06087388060510943,0.06878700628352039,0.07132310830918556
149,0.0792485089044659,0.05005549493380479,0.052408602617608366,0.060980794762671556,0.06885480963949844,0.07121045846897461
152,0.0790389085440185,0.0482325731741521,0.05232379766017468,0.06090483615816016,0.06885124745162134,0.07127703089984481
155,0.07904349286962968,0.050518404681335,0.052442004778657514,0.06052998037156743,0.06875004056545325,0.07120279267550655
158,0.07900299971232269,0.04951693401291212,0.052615442746426815,0.06038745827611983,0.06903516029295252,0.07151538210052466
161,0.07895850101355087,0.049822934980763636,0.052486598061520645,0.06044952802055729,0.06880479724048401,0.07115082356660454
164,0.07891893385880173,0.048361113336152985,0.05262996567137317,0.06043843379183487,0.06870875001065807,0.07108334104645339
